YAL068C	NP_009332.1
YAL067W-A	NP_878038.1
YAL067C	NP_009333.1
YAL065C	NP_009335.1
YAL064W-B	NP_009336.1
YAL064C-A	NP_058136.1
YAL064W	NP_009337.2
YAL063C-A	NP_878039.1
YAL063C	NP_009338.1
YAL062W	NP_009339.1
YAL061W	NP_009340.1
YAL060W	NP_009341.2
YAL059W	NP_009342.2
YAL058W	NP_009343.1
YAL056W	NP_009345.3
YAL055W	NP_009346.1
YAL054C	NP_009347.1
YAL053W	NP_009348.2
YAL051W	NP_009349.3
YAL049C	NP_009350.1
YAL048C	NP_009351.1
YAL047C	NP_009352.2
YAL046C	NP_009353.1
YAL044W-A	NP_075206.1
YAL044C	NP_009355.3
YAL043C	NP_009356.1
YAL042W	NP_009358.1
YAL041W	NP_009359.1
YAL040C	NP_009360.1
YAL039C	NP_009361.1
YAL038W	NP_009362.1
YAL037C-A	NP_878040.1
YAL037W	NP_009363.1
YAL036C	NP_009364.1
YAL035W	NP_009365.1
YAL034W-A	NP_009367.1
YAL034C	NP_009368.2
YAL033W	NP_009369.1
YAL032C	NP_009370.1
YAL031C	NP_009371.1
YAL030W	NP_009372.1
YAL030W	NP_009372.1
YAL029C	NP_009373.1
YAL028W	NP_009374.1
YAL027W	NP_009375.1
YAL026C	NP_009376.2
YAL025C	NP_009377.2
YAL024C	NP_009378.1
YAL023C	NP_009379.2
YAL022C	NP_009380.1
YAL021C	NP_009381.1
YAL020C	NP_009382.2
YAL019W	NP_009383.1
YAL018C	NP_009384.1
YAL017W	NP_009385.2
YAL016W	NP_009386.1
YAL015C	NP_009387.1
YAL014C	NP_009388.2
YAL013W	NP_009389.3
YAL012W	NP_009390.1
YAL011W	NP_009391.2
YAL010C	NP_009392.2
YAL009W	NP_009393.1
YAL008W	NP_009394.1
YAL007C	NP_009395.1
YAL005C	NP_009396.2
YAL003W	NP_009398.1
YAL003W	NP_009398.1
YAL002W	NP_009399.2
YAL001C	NP_009400.1
YAL001C	NP_009400.1
YAR002W	NP_009401.1
YAR002C-A	NP_009402.1
YAR003W	NP_009403.1
YAR007C	NP_009404.1
YAR008W	NP_009405.1
YAR009C	NP_009406.1
YAR010C	NP_009407.1
YAR014C	NP_009408.3
YAR015W	NP_009409.1
YAR018C	NP_009410.1
YAR019C	NP_009411.2
YAR020C	NP_009412.1
YAR023C	NP_009413.2
YAR027W	NP_009414.1
YAR028W	NP_009415.1
YAR029W	NP_009416.1
YAR031W	NP_009418.1
YAR033W	NP_009419.1
YAR035W	NP_009420.1
YAR035C-A	NP_878042.1
YAR042W	NP_009421.3
YAR050W	NP_009424.1
YAR064W	NP_009429.1
YAR066W	NP_009430.1
YAR068W	NP_009431.1
YAR071W	NP_009434.1
YBL113C	NP_009437.1
YBL112C	NP_009438.1
YBL111C	NP_009439.1
YBL111C	NP_009439.1
YBL108C-A	NP_076873.1
YBL107C	NP_009443.1
YBL106C	NP_009444.2
YBL105C	NP_009445.2
YBL104C	NP_009446.2
YBL103C	NP_009447.1
YBL102W	NP_009448.1
YBL101C	NP_009449.1
YBL100W-C	NP_878043.1
YBL100W-B	NP_009450.1
YBL100W-B	NP_009450.1
YBL100W-A	NP_009451.1
YBL099W	NP_009453.2
YBL098W	NP_009454.1
YBL097W	NP_009455.3
YBL095W	NP_009457.1
YBL093C	NP_009459.1
YBL092W	NP_009460.1
YBL091C-A	NP_009461.2
YBL091C-A	NP_009461.2
YBL091C	NP_009462.2
YBL090W	NP_009463.1
YBL089W	NP_009464.2
YBL088C	NP_009465.2
YBL087C	NP_009466.1
YBL087C	NP_009466.1
YBL086C	NP_009467.1
YBL085W	NP_009468.1
YBL084C	NP_009469.2
YBL082C	NP_009471.1
YBL081W	NP_009472.1
YBL080C	NP_009473.2
YBL079W	NP_009474.1
YBL078C	NP_009475.1
YBL076C	NP_009477.1
YBL075C	NP_009478.1
YBL074C	NP_009479.1
YBL072C	NP_009481.1
YBL071C-B	NP_878044.1
YBL071W-A	NP_660100.1
YBL071C	NP_001333723.1
YBL069W	NP_009484.2
YBL068W	NP_009485.3
YBL067C	NP_009486.3
YBL066C	NP_009487.2
YBL064C	NP_009489.1
YBL063W	NP_009490.1
YBL061C	NP_009492.1
YBL060W	NP_009493.1
YBL059C-A	NP_031358.1
YBL059C-A	NP_031358.1
YBL059W	NP_009494.1
YBL059W	NP_009494.1
YBL058W	NP_009495.1
YBL057C	NP_009496.2
YBL056W	NP_009497.2
YBL055C	NP_009498.1
YBL054W	NP_009499.1
YBL052C	NP_009501.1
YBL051C	NP_009502.1
YBL050W	NP_009503.1
YBL050W	NP_009503.1
YBL049W	NP_009504.1
YBL048W	NP_001335744.1
YBL047C	NP_009506.1
YBL046W	NP_009507.1
YBL045C	NP_009508.1
YBL044W	NP_009509.1
YBL043W	NP_009510.1
YBL042C	NP_009511.1
YBL041W	NP_009512.1
YBL040C	NP_009513.1
YBL040C	NP_009513.1
YBL039W-B	NP_878045.1
YBL039C	NP_009514.1
YBL038W	NP_009515.1
YBL037W	NP_009516.1
YBL036C	NP_009517.1
YBL035C	NP_009518.1
YBL034C	NP_009519.1
YBL033C	NP_009520.1
YBL032W	NP_009521.1
YBL031W	NP_009522.1
YBL030C	NP_009523.1
YBL029C-A	NP_076874.1
YBL029W	NP_009524.1
YBL028C	NP_009525.1
YBL027W	NP_009526.1
YBL027W	NP_009526.1
YBL026W	NP_009527.1
YBL026W	NP_009527.1
YBL025W	NP_009528.1
YBL024W	NP_009529.1
YBL023C	NP_009530.1
YBL022C	NP_009531.1
YBL021C	NP_009532.1
YBL020W	NP_009533.1
YBL019W	NP_009534.1
YBL018C	NP_009535.1
YBL018C	NP_009535.1
YBL017C	NP_009536.1
YBL016W	NP_009537.1
YBL015W	NP_009538.1
YBL014C	NP_009539.2
YBL013W	NP_009540.2
YBL011W	NP_009542.1
YBL010C	NP_009543.1
YBL009W	NP_009544.1
YBL008W-A	NP_878046.1
YBL008W	NP_009545.2
YBL007C	NP_009546.1
YBL006C	NP_009547.2
YBL005W	NP_009548.1
YBL005W-B	NP_009549.1
YBL005W-B	NP_009549.1
YBL005W-A	NP_009550.1
YBL004W	NP_009551.2
YBL003C	NP_009552.1
YBL002W	NP_009553.1
YBL001C	NP_009554.1
YBR001C	NP_009555.1
YBR002C	NP_009556.1
YBR003W	NP_009557.1
YBR004C	NP_009558.2
YBR005W	NP_009559.1
YBR006W	NP_009560.1
YBR007C	NP_009561.2
YBR008C	NP_009562.1
YBR009C	NP_009563.1
YBR010W	NP_009564.1
YBR011C	NP_009565.1
YBR012W-B	NP_009567.1
YBR012W-B	NP_009567.1
YBR012W-A	NP_009568.1
YBR013C	NP_009569.1
YBR014C	NP_009570.1
YBR015C	NP_009571.1
YBR016W	NP_009572.1
YBR017C	NP_009573.1
YBR018C	NP_009574.1
YBR019C	NP_009575.1
YBR020W	NP_009576.1
YBR021W	NP_009577.1
YBR022W	NP_009578.1
YBR023C	NP_009579.1
YBR024W	NP_009580.1
YBR025C	NP_009581.1
YBR026C	NP_009582.1
YBR027C	NP_001333724.1
YBR028C	NP_009584.1
YBR029C	NP_009585.1
YBR030W	NP_009586.1
YBR031W	NP_009587.1
YBR032W	NP_001333725.1
YBR033W	NP_009589.1
YBR034C	NP_009590.1
YBR035C	NP_009591.1
YBR036C	NP_009592.1
YBR037C	NP_009593.1
YBR038W	NP_009594.1
