SMKI_01G0010	XP_056080164.1
SMKI_01G0020	XP_056080165.1
SMKI_01G0030	XP_056080166.1
SMKI_01G0040	XP_056080167.1
SMKI_01G0050	XP_056080168.1
SMKI_01G0060	XP_056080169.1
SMKI_01G0070	XP_056080170.1
SMKI_01G0080	XP_056080171.1
SMKI_01G0090	XP_056080172.1
SMKI_01G0100	XP_056080173.1
SMKI_01G0120	XP_056080174.1
SMKI_01G0130	XP_056080175.1
SMKI_01G0140	XP_056080176.1
SMKI_01G0150	XP_056080177.1
SMKI_01G0160	XP_056080178.1
SMKI_01G0170	XP_056080179.1
SMKI_01G0180	XP_056080180.1
SMKI_01G0190	XP_056080181.1
SMKI_01G0200	XP_056080182.1
SMKI_01G0220	XP_056080183.1
SMKI_01G0230	XP_056080184.1
SMKI_01G0240	XP_056080185.1
SMKI_01G0250	XP_056080186.1
SMKI_01G0260	XP_056080187.1
SMKI_01G0270	XP_056080188.1
SMKI_01G0280	XP_056080189.1
SMKI_01G0290	XP_056080190.1
SMKI_01G0300	XP_056080191.1
SMKI_01G0310	XP_056080192.1
SMKI_01G0330	XP_056080193.1
SMKI_01G0340	XP_056080194.1
SMKI_01G0350	XP_056080195.1
SMKI_01G0360	XP_056080196.1
SMKI_01G0370	XP_056080197.1
SMKI_01G0380	XP_056080198.1
SMKI_01G0390	XP_056080199.1
SMKI_01G0400	XP_056080200.1
SMKI_01G0400	XP_056080200.1
SMKI_01G0410	XP_056080201.1
SMKI_01G0420	XP_056080202.1
SMKI_01G0430	XP_056080203.1
SMKI_01G0440	XP_056080204.1
SMKI_01G0450	XP_056080205.1
SMKI_01G0460	XP_056080206.1
SMKI_01G0470	XP_056080207.1
SMKI_01G0480	XP_056080208.1
SMKI_01G0490	XP_056080209.1
SMKI_01G0500	XP_056080210.1
SMKI_01G0520	XP_056080211.1
SMKI_01G0530	XP_056080212.1
SMKI_01G0540	XP_056080213.1
SMKI_01G0560	XP_056080214.1
SMKI_01G0570	XP_056080215.1
SMKI_01G0580	XP_056080216.1
SMKI_01G0590	XP_056080217.1
SMKI_01G0600	XP_056080218.1
SMKI_01G0610	XP_056080219.1
SMKI_01G0620	XP_056080220.1
SMKI_01G0630	XP_056080221.1
SMKI_01G0640	XP_056080222.1
SMKI_01G0650	XP_056080223.1
SMKI_01G0660	XP_056080224.1
SMKI_01G0670	XP_056080225.1
SMKI_01G0670	XP_056080225.1
SMKI_01G0680	XP_056080226.1
SMKI_01G0690	XP_056080227.1
SMKI_01G0700	XP_056080228.1
SMKI_01G0710	XP_056080229.1
SMKI_01G0720	XP_056080230.1
SMKI_01G0730	XP_056080231.1
SMKI_01G0740	XP_056080232.1
SMKI_01G0750	XP_056080233.1
SMKI_01G0760	XP_056080234.1
SMKI_01G0770	XP_056080235.1
SMKI_01G0780	XP_056080236.1
SMKI_01G0790	XP_056080237.1
SMKI_01G0800	XP_056080238.1
SMKI_01G0810	XP_056080239.1
SMKI_01G0820	XP_056080240.1
SMKI_01G0830	XP_056080241.1
SMKI_01G0840	XP_056080242.1
SMKI_01G0845	XP_056080243.1
SMKI_01G0850	XP_056080244.1
SMKI_01G0860	XP_056080245.1
SMKI_01G0870	XP_056080246.1
SMKI_01G0880	XP_056080247.1
SMKI_01G0890	XP_056080248.1
SMKI_01G0900	XP_056080249.1
SMKI_01G0910	XP_056080250.1
SMKI_01G0920	XP_056080251.1
SMKI_01G0930	XP_056080252.1
SMKI_01G0940	XP_056080253.1
SMKI_01G0950	XP_056080254.1
SMKI_01G0955	XP_056080255.1
SMKI_02G0010	XP_056080256.1
SMKI_02G0020	XP_056080257.1
SMKI_02G0030	XP_056080258.1
SMKI_02G0040	XP_056080259.1
SMKI_02G0050	XP_056080260.1
SMKI_02G0060	XP_056080261.1
SMKI_02G0070	XP_056080262.1
SMKI_02G0080	XP_056080263.1
SMKI_02G0090	XP_056080264.1
SMKI_02G0100	XP_056080265.1
SMKI_02G0110	XP_056080266.1
SMKI_02G0120	XP_056080267.1
SMKI_02G0130	XP_056080268.1
SMKI_02G0140	XP_056080269.1
SMKI_02G0160	XP_056080270.1
SMKI_02G0170	XP_056080271.1
SMKI_02G0180	XP_056080272.1
SMKI_02G0190	XP_056080273.1
SMKI_02G0200	XP_056080274.1
SMKI_02G0210	XP_056080275.1
SMKI_02G0220	XP_056080276.1
SMKI_02G0220	XP_056080276.1
SMKI_02G0230	XP_056080277.1
SMKI_02G0240	XP_056080278.1
SMKI_02G0250	XP_056080279.1
SMKI_02G0260	XP_056080280.1
SMKI_02G0270	XP_056080281.1
SMKI_02G0270	XP_056080281.1
SMKI_02G0280	XP_056080282.1
SMKI_02G0290	XP_056080283.1
SMKI_02G0300	XP_056080284.1
SMKI_02G0310	XP_056080285.1
SMKI_02G0320	XP_056080286.1
SMKI_02G0330	XP_056080287.1
SMKI_02G0340	XP_056080288.1
SMKI_02G0350	XP_056080289.1
SMKI_02G0370	XP_056080290.1
SMKI_02G0380	XP_056080291.1
SMKI_02G0390	XP_056080292.1
SMKI_02G0410	XP_056080293.1
SMKI_02G0420	XP_056080294.1
SMKI_02G0440	XP_056080295.1
SMKI_02G0450	XP_056080296.1
SMKI_02G0460	XP_056080297.1
SMKI_02G0470	XP_056080298.1
SMKI_02G0490	XP_056080299.1
SMKI_02G0500	XP_056080300.1
SMKI_02G0510	XP_056080301.1
SMKI_02G0520	XP_056080302.1
SMKI_02G0530	XP_056080303.1
SMKI_02G0530	XP_056080303.1
SMKI_02G0540	XP_056080304.1
SMKI_02G0540	XP_056080304.1
SMKI_02G0550	XP_056080305.1
SMKI_02G0560	XP_056080306.1
SMKI_02G0570	XP_056080307.1
SMKI_02G0580	XP_056080308.1
SMKI_02G0590	XP_056080309.1
SMKI_02G0600	XP_056080310.1
SMKI_02G0610	XP_056080311.1
SMKI_02G0620	XP_056080312.1
SMKI_02G0620	XP_056080312.1
SMKI_02G0630	XP_056080313.1
SMKI_02G0640	XP_056080314.1
SMKI_02G0650	XP_056080315.1
SMKI_02G0660	XP_056080316.1
SMKI_02G0670	XP_056080317.1
SMKI_02G0680	XP_056080318.1
SMKI_02G0690	XP_056080319.1
SMKI_02G0700	XP_056080320.1
SMKI_02G0710	XP_056080321.1
SMKI_02G0720	XP_056080322.1
SMKI_02G0740	XP_056080323.1
SMKI_02G0750	XP_056080324.1
SMKI_02G0760	XP_056080325.1
SMKI_02G0770	XP_056080326.1
SMKI_02G0780	XP_056080327.1
SMKI_02G0790	XP_056080328.1
SMKI_02G0800	XP_056080329.1
SMKI_02G0810	XP_056080330.1
SMKI_02G0820	XP_056080331.1
SMKI_02G0830	XP_056080332.1
SMKI_02G0840	XP_056080333.1
SMKI_02G0850	XP_056080334.1
SMKI_02G0860	XP_056080335.1
SMKI_02G0860	XP_056080335.1
SMKI_02G0870	XP_056080336.1
SMKI_02G0870	XP_056080336.1
SMKI_02G0880	XP_056080337.1
SMKI_02G0890	XP_056080338.1
SMKI_02G0900	XP_056080339.1
SMKI_02G0910	XP_056080340.1
SMKI_02G0920	XP_056080341.1
SMKI_02G0930	XP_056080342.1
SMKI_02G0940	XP_056080343.1
SMKI_02G0950	XP_056080344.1
SMKI_02G0950	XP_056080344.1
SMKI_02G0960	XP_056080345.1
SMKI_02G0970	XP_056080346.1
SMKI_02G0980	XP_056080347.1
SMKI_02G0990	XP_056080348.1
SMKI_02G1000	XP_056080349.1
SMKI_02G1010	XP_056080350.1
SMKI_02G1020	XP_056080351.1
SMKI_02G1030	XP_056080352.1
SMKI_02G1040	XP_056080353.1
SMKI_02G1050	XP_056080354.1
SMKI_02G1060	XP_056080355.1
SMKI_02G1070	XP_056080356.1
SMKI_02G1080	XP_056080357.1
SMKI_02G1090	XP_056080358.1
SMKI_02G1100	XP_056080359.1
SMKI_02G1110	XP_056080360.1
SMKI_02G1120	XP_056080361.1
SMKI_02G1130	XP_056080362.1
SMKI_02G1140	XP_056080363.1
SMKI_02G1150	XP_056080364.1
SMKI_02G1160	XP_056080365.1
SMKI_02G1170	XP_056080366.1
SMKI_02G1180	XP_056080367.1
SMKI_02G1190	XP_056080368.1
SMKI_02G1200	XP_056080369.1
SMKI_02G1210	XP_056080370.1
SMKI_02G1220	XP_056080371.1
SMKI_02G1230	XP_056080372.1
SMKI_02G1240	XP_056080373.1
SMKI_02G1250	XP_056080374.1
SMKI_02G1260	XP_056080375.1
SMKI_02G1270	XP_056080376.1
SMKI_02G1280	XP_056080377.1
SMKI_02G1290	XP_056080378.1
SMKI_02G1300	XP_056080379.1
SMKI_02G1310	XP_056080380.1
SMKI_02G1320	XP_056080381.1
SMKI_02G1330	XP_056080382.1
SMKI_02G1340	XP_056080383.1
SMKI_02G1350	XP_056080384.1
SMKI_02G1360	XP_056080385.1
SMKI_02G1370	XP_056080386.1
SMKI_02G1380	XP_056080387.1
SMKI_02G1390	XP_056080388.1
SMKI_02G1400	XP_056080389.1
SMKI_02G1410	XP_056080390.1
SMKI_02G1420	XP_056080391.1
SMKI_02G1430	XP_056080392.1
SMKI_02G1440	XP_056080393.1
SMKI_02G1450	XP_056080394.1
SMKI_02G1460	XP_056080395.1
SMKI_02G1470	XP_056080396.1
SMKI_02G1480	XP_056080397.1
SMKI_02G1490	XP_056080398.1
SMKI_02G1500	XP_056080399.1
SMKI_02G1510	XP_056080400.1
SMKI_02G1520	XP_056080401.1
SMKI_02G1530	XP_056080402.1
SMKI_02G1540	XP_056080403.1
SMKI_02G1550	XP_056080404.1
SMKI_02G1550	XP_056080404.1
SMKI_02G1560	XP_056080405.1
SMKI_02G1570	XP_056080406.1
SMKI_02G1590	XP_056080407.1
SMKI_02G1600	XP_056080408.1
SMKI_02G1610	XP_056080409.1
SMKI_02G1620	XP_056080410.1
SMKI_02G1630	XP_056080411.1
SMKI_02G1640	XP_056080412.1
SMKI_02G1660	XP_056080413.1
SMKI_02G1670	XP_056080414.1
SMKI_02G1680	XP_056080415.1
SMKI_02G1690	XP_056080416.1
SMKI_02G1700	XP_056080417.1
SMKI_02G1710	XP_056080418.1
SMKI_02G1720	XP_056080419.1
SMKI_02G1730	XP_056080420.1
SMKI_02G1730	XP_056080420.1
SMKI_02G1740	XP_056080421.1
SMKI_02G1750	XP_056080422.1
SMKI_02G1760	XP_056080423.1
SMKI_02G1770	XP_056080424.1
SMKI_02G1780	XP_056080425.1
SMKI_02G1790	XP_056080426.1
SMKI_02G1800	XP_056080427.1
SMKI_02G1810	XP_056080428.1
SMKI_02G1820	XP_056080429.1
SMKI_02G1830	XP_056080430.1
SMKI_02G1840	XP_056080431.1
SMKI_02G1850	XP_056080432.1
SMKI_02G1860	XP_056080433.1
SMKI_02G1870	XP_056080434.1
SMKI_02G1870	XP_056080434.1
SMKI_02G1880	XP_056080435.1
SMKI_02G1890	XP_056080436.1
SMKI_02G1900	XP_056080437.1
SMKI_02G1910	XP_056080438.1
SMKI_02G1920	XP_056080439.1
SMKI_02G1930	XP_056080440.1
SMKI_02G1930	XP_056080440.1
SMKI_02G1940	XP_056080441.1
SMKI_02G1950	XP_056080442.1
SMKI_02G1960	XP_056080443.1
SMKI_02G1970	XP_056080444.1
SMKI_02G1980	XP_056080445.1
SMKI_02G2000	XP_056080446.1
SMKI_02G2010	XP_056080447.1
SMKI_02G2020	XP_056080448.1
SMKI_02G2030	XP_056080449.1
SMKI_02G2040	XP_056080450.1
SMKI_02G2050	XP_056080451.1
SMKI_02G2060	XP_056080452.1
SMKI_02G2070	XP_056080453.1
SMKI_02G2080	XP_056080454.1
SMKI_02G2090	XP_056080455.1
SMKI_02G2110	XP_056080456.1
SMKI_02G2120	XP_056080457.1
SMKI_02G2130	XP_056080458.1
SMKI_02G2140	XP_056080459.1
SMKI_02G2150	XP_056080460.1
SMKI_02G2160	XP_056080461.1
SMKI_02G2170	XP_056080462.1
SMKI_02G2180	XP_056080463.1
SMKI_02G2190	XP_056080464.1
SMKI_02G2200	XP_056080465.1
SMKI_02G2210	XP_056080466.1
SMKI_02G2220	XP_056080467.1
SMKI_02G2220	XP_056080467.1
SMKI_02G2220	XP_056080467.1
SMKI_02G2230	XP_056080468.1
SMKI_02G2240	XP_056080469.1
SMKI_02G2250	XP_056080470.1
SMKI_02G2260	XP_056080471.1
SMKI_02G2270	XP_056080472.1
SMKI_02G2280	XP_056080473.1
SMKI_02G2290	XP_056080474.1
SMKI_02G2300	XP_056080475.1
SMKI_02G2320	XP_056080476.1
SMKI_02G2330	XP_056080477.1
SMKI_02G2350	XP_056080478.1
SMKI_02G2360	XP_056080479.1
SMKI_02G2370	XP_056080480.1
SMKI_02G2380	XP_056080481.1
SMKI_02G2390	XP_056080482.1
SMKI_02G2400	XP_056080483.1
SMKI_02G2410	XP_056080484.1
SMKI_02G2420	XP_056080485.1
SMKI_02G2430	XP_056080486.1
SMKI_02G2440	XP_056080487.1
SMKI_02G2460	XP_056080488.1
SMKI_02G2470	XP_056080489.1
SMKI_02G2480	XP_056080490.1
SMKI_02G2490	XP_056080491.1
SMKI_02G2500	XP_056080492.1
SMKI_02G2510	XP_056080493.1
SMKI_02G2520	XP_056080494.1
SMKI_02G2530	XP_056080495.1
SMKI_02G2540	XP_056080496.1
SMKI_02G2550	XP_056080497.1
SMKI_02G2560	XP_056080498.1
SMKI_02G2570	XP_056080499.1
SMKI_02G2580	XP_056080500.1
SMKI_02G2590	XP_056080501.1
SMKI_02G2600	XP_056080502.1
SMKI_02G2610	XP_056080503.1
SMKI_02G2620	XP_056080504.1
SMKI_02G2630	XP_056080505.1
SMKI_02G2640	XP_056080506.1
SMKI_02G2650	XP_056080507.1
SMKI_02G2660	XP_056080508.1
SMKI_02G2670	XP_056080509.1
SMKI_02G2680	XP_056080510.1
SMKI_02G2690	XP_056080511.1
SMKI_02G2700	XP_056080512.1
SMKI_02G2710	XP_056080513.1
SMKI_02G2720	XP_056080514.1
SMKI_02G2730	XP_056080515.1
SMKI_02G2740	XP_056080516.1
SMKI_02G2750	XP_056080517.1
SMKI_02G2760	XP_056080518.1
SMKI_02G2770	XP_056080519.1
SMKI_02G2780	XP_056080520.1
SMKI_02G2790	XP_056080521.1
SMKI_02G2800	XP_056080522.1
SMKI_02G2810	XP_056080523.1
SMKI_02G2820	XP_056080524.1
SMKI_02G2830	XP_056080525.1
SMKI_02G2840	XP_056080526.1
SMKI_02G2850	XP_056080527.1
SMKI_02G2860	XP_056080528.1
SMKI_02G2870	XP_056080529.1
SMKI_02G2880	XP_056080530.1
SMKI_02G2890	XP_056080531.1
SMKI_02G2900	XP_056080532.1
SMKI_02G2910	XP_056080533.1
SMKI_02G2920	XP_056080534.1
SMKI_02G2930	XP_056080535.1
SMKI_02G2940	XP_056080536.1
SMKI_02G2950	XP_056080537.1
SMKI_02G2960	XP_056080538.1
SMKI_02G2960	XP_056080538.1
SMKI_02G2970	XP_056080539.1
SMKI_02G2980	XP_056080540.1
SMKI_02G2990	XP_056080541.1
SMKI_02G2990	XP_056080541.1
SMKI_02G3000	XP_056080542.1
SMKI_02G3000	XP_056080542.1
SMKI_02G3010	XP_056080543.1
SMKI_02G3020	XP_056080544.1
SMKI_02G3030	XP_056080545.1
SMKI_02G3040	XP_056080546.1
SMKI_02G3050	XP_056080547.1
SMKI_02G3060	XP_056080548.1
SMKI_02G3070	XP_056080549.1
SMKI_02G3080	XP_056080550.1
SMKI_02G3090	XP_056080551.1
SMKI_02G3100	XP_056080552.1
SMKI_02G3110	XP_056080553.1
SMKI_02G3120	XP_056080554.1
SMKI_02G3130	XP_056080555.1
SMKI_02G3140	XP_056080556.1
SMKI_02G3150	XP_056080557.1
SMKI_02G3160	XP_056080558.1
SMKI_02G3170	XP_056080559.1
SMKI_02G3180	XP_056080560.1
SMKI_02G3190	XP_056080561.1
SMKI_02G3200	XP_056080562.1
SMKI_02G3210	XP_056080563.1
SMKI_02G3220	XP_056080564.1
SMKI_02G3220	XP_056080564.1
SMKI_02G3230	XP_056080565.1
SMKI_02G3240	XP_056080566.1
SMKI_02G3250	XP_056080567.1
SMKI_02G3270	XP_056080568.1
SMKI_02G3280	XP_056080569.1
SMKI_02G3290	XP_056080570.1
SMKI_02G3300	XP_056080571.1
SMKI_02G3310	XP_056080572.1
SMKI_02G3320	XP_056080573.1
SMKI_02G3330	XP_056080574.1
SMKI_02G3340	XP_056080575.1
SMKI_02G3350	XP_056080576.1
SMKI_02G3350	XP_056080576.1
SMKI_02G3360	XP_056080577.1
SMKI_02G3370	XP_056080578.1
SMKI_02G3380	XP_056080579.1
SMKI_02G3400	XP_056080580.1
SMKI_02G3410	XP_056080581.1
SMKI_02G3420	XP_056080582.1
SMKI_02G3430	XP_056080583.1
SMKI_02G3440	XP_056080584.1
SMKI_02G3450	XP_056080585.1
SMKI_02G3460	XP_056080586.1
SMKI_02G3470	XP_056080587.1
SMKI_02G3480	XP_056080588.1
SMKI_02G3490	XP_056080589.1
SMKI_02G3500	XP_056080590.1
SMKI_02G3510	XP_056080591.1
SMKI_02G3520	XP_056080592.1
SMKI_02G3530	XP_056080593.1
SMKI_02G3540	XP_056080594.1
SMKI_02G3550	XP_056080595.1
SMKI_02G3560	XP_056080596.1
SMKI_02G3570	XP_056080597.1
SMKI_02G3580	XP_056080598.1
SMKI_02G3590	XP_056080599.1
SMKI_02G3600	XP_056080600.1
SMKI_02G3610	XP_056080601.1
SMKI_02G3620	XP_056080602.1
SMKI_02G3630	XP_056080603.1
SMKI_02G3640	XP_056080604.1
SMKI_02G3650	XP_056080605.1
SMKI_02G3660	XP_056080606.1
SMKI_02G3670	XP_056080607.1
SMKI_02G3680	XP_056080608.1
SMKI_02G3690	XP_056080609.1
SMKI_02G3700	XP_056080610.1
SMKI_02G3710	XP_056080611.1
SMKI_02G3720	XP_056080612.1
SMKI_02G3730	XP_056080613.1
SMKI_02G3740	XP_056080614.1
SMKI_02G3750	XP_056080615.1
SMKI_02G3760	XP_056080616.1
SMKI_02G3770	XP_056080617.1
SMKI_02G3780	XP_056080618.1
SMKI_02G3790	XP_056080619.1
SMKI_02G3800	XP_056080620.1
SMKI_02G3810	XP_056080621.1
SMKI_02G3820	XP_056080622.1
SMKI_02G3830	XP_056080623.1
SMKI_02G3840	XP_056080624.1
SMKI_02G3850	XP_056080625.1
SMKI_02G3860	XP_056080626.1
SMKI_02G3870	XP_056080627.1
SMKI_02G3880	XP_056080628.1
SMKI_02G3890	XP_056080629.1
SMKI_02G3900	XP_056080630.1
SMKI_02G3910	XP_056080631.1
SMKI_02G3920	XP_056080632.1
SMKI_02G3930	XP_056080633.1
SMKI_02G3940	XP_056080634.1
SMKI_02G3950	XP_056080635.1
SMKI_02G3960	XP_056080636.1
SMKI_02G3970	XP_056080637.1
SMKI_02G3980	XP_056080638.1
SMKI_02G3990	XP_056080639.1
SMKI_02G4000	XP_056080640.1
SMKI_02G4010	XP_056080641.1
SMKI_02G4020	XP_056080642.1
SMKI_02G4030	XP_056080643.1
SMKI_02G4040	XP_056080644.1
SMKI_03G0010	XP_056080645.1
SMKI_03G0020	XP_056080646.1
SMKI_03G0030	XP_056080647.1
SMKI_03G0040	XP_056080648.1
SMKI_03G0050	XP_056080649.1
SMKI_03G0060	XP_056080650.1
SMKI_03G0070	XP_056080651.1
SMKI_03G0080	XP_056080652.1
SMKI_03G0090	XP_056080653.1
SMKI_03G0100	XP_056080654.1
SMKI_03G0110	XP_056080655.1
SMKI_03G0120	XP_056080656.1
SMKI_03G0130	XP_056080657.1
SMKI_03G0140	XP_056080658.1
SMKI_03G0150	XP_056080659.1
SMKI_03G0160	XP_056080660.1
SMKI_03G0170	XP_056080661.1
SMKI_03G0180	XP_056080662.1
SMKI_03G0190	XP_056080663.1
SMKI_03G0200	XP_056080664.1
SMKI_03G0210	XP_056080665.1
SMKI_03G0220	XP_056080666.1
SMKI_03G0230	XP_056080667.1
SMKI_03G0240	XP_056080668.1
SMKI_03G0250	XP_056080669.1
SMKI_03G0260	XP_056080670.1
SMKI_03G0270	XP_056080671.1
SMKI_03G0280	XP_056080672.1
SMKI_03G0290	XP_056080673.1
SMKI_03G0300	XP_056080674.1
SMKI_03G0310	XP_056080675.1
SMKI_03G0320	XP_056080676.1
SMKI_03G0330	XP_056080677.1
SMKI_03G0340	XP_056080678.1
SMKI_03G0350	XP_056080679.1
SMKI_03G0360	XP_056080680.1
SMKI_03G0370	XP_056080681.1
SMKI_03G0380	XP_056080682.1
SMKI_03G0390	XP_056080683.1
SMKI_03G0400	XP_056080684.1
SMKI_03G0410	XP_056080685.1
SMKI_03G0420	XP_056080686.1
SMKI_03G0430	XP_056080687.1
SMKI_03G0440	XP_056080688.1
SMKI_03G0450	XP_056080689.1
SMKI_03G0460	XP_056080690.1
SMKI_03G0470	XP_056080691.1
SMKI_03G0480	XP_056080692.1
SMKI_03G0480	XP_056080692.1
SMKI_03G0490	XP_056080693.1
SMKI_03G0500	XP_056080694.1
SMKI_03G0510	XP_056080695.1
SMKI_03G0520	XP_056080696.1
SMKI_03G0530	XP_056080697.1
SMKI_03G0530	XP_056080697.1
SMKI_03G0530	XP_056080697.1
SMKI_03G0550	XP_056080698.1
SMKI_03G0560	XP_056080699.1
SMKI_03G0570	XP_056080700.1
SMKI_03G0570	XP_056080700.1
SMKI_03G0580	XP_056080701.1
SMKI_03G0590	XP_056080702.1
SMKI_03G0600	XP_056080703.1
SMKI_03G0610	XP_056080704.1
SMKI_03G0620	XP_056080705.1
SMKI_03G0630	XP_056080706.1
SMKI_03G0640	XP_056080707.1
SMKI_03G0650	XP_056080708.1
SMKI_03G0660	XP_056080709.1
SMKI_03G0670	XP_056080710.1
SMKI_03G0680	XP_056080711.1
SMKI_03G0700	XP_056080712.1
SMKI_03G0710	XP_056080713.1
SMKI_03G0720	XP_056080714.1
SMKI_03G0730	XP_056080715.1
SMKI_03G0740	XP_056080716.1
SMKI_03G0750	XP_056080717.1
