SKDI_01G0010	XP_056085810.1
SKDI_01G0020	XP_056085811.1
SKDI_01G0030	XP_056085812.1
SKDI_01G0040	XP_056085813.1
SKDI_01G0050	XP_056085814.1
SKDI_01G0060	XP_056085815.1
SKDI_01G0070	XP_056085816.1
SKDI_01G0080	XP_056085817.1
SKDI_01G0090	XP_056085818.1
SKDI_01G0110	XP_056085819.1
SKDI_01G0120	XP_056085820.1
SKDI_01G0130	XP_056085821.1
SKDI_01G0140	XP_056085822.1
SKDI_01G0150	XP_056085823.1
SKDI_01G0160	XP_056085824.1
SKDI_01G0170	XP_056085825.1
SKDI_01G0180	XP_056085826.1
SKDI_01G0200	XP_056085827.1
SKDI_01G0210	XP_056085828.1
SKDI_01G0220	XP_056085829.1
SKDI_01G0230	XP_056085830.1
SKDI_01G0240	XP_056085831.1
SKDI_01G0260	XP_056085832.1
SKDI_01G0270	XP_056085833.1
SKDI_01G0280	XP_056085834.1
SKDI_01G0290	XP_056085835.1
SKDI_01G0300	XP_056085836.1
SKDI_01G0330	XP_056085837.1
SKDI_01G0340	XP_056085838.1
SKDI_01G0350	XP_056085839.1
SKDI_01G0360	XP_056085840.1
SKDI_01G0370	XP_056085841.1
SKDI_01G0380	XP_056085842.1
SKDI_01G0390	XP_056085843.1
SKDI_01G0400	XP_056085844.1
SKDI_01G0410	XP_056085845.1
SKDI_01G0410	XP_056085845.1
SKDI_01G0420	XP_056085846.1
SKDI_01G0430	XP_056085847.1
SKDI_01G0440	XP_056085848.1
SKDI_01G0450	XP_056085849.1
SKDI_01G0460	XP_056085850.1
SKDI_01G0470	XP_056085851.1
SKDI_01G0480	XP_056085852.1
SKDI_01G0490	XP_056085853.1
SKDI_01G0500	XP_056085854.1
SKDI_01G0510	XP_056085855.1
SKDI_01G0530	XP_056085856.1
SKDI_01G0540	XP_056085857.1
SKDI_01G0550	XP_056085858.1
SKDI_01G0570	XP_056085859.1
SKDI_01G0580	XP_056085860.1
SKDI_01G0590	XP_056085861.1
SKDI_01G0600	XP_056085862.1
SKDI_01G0610	XP_056085863.1
SKDI_01G0620	XP_056085864.1
SKDI_01G0630	XP_056085865.1
SKDI_01G0640	XP_056085866.1
SKDI_01G0650	XP_056085867.1
SKDI_01G0660	XP_056085868.1
SKDI_01G0670	XP_056085869.1
SKDI_01G0680	XP_056085870.1
SKDI_01G0690	XP_056085871.1
SKDI_01G0700	XP_056085872.1
SKDI_01G0700	XP_056085872.1
SKDI_01G0710	XP_056085873.1
SKDI_01G0720	XP_056085874.1
SKDI_01G0730	XP_056085875.1
SKDI_01G0740	XP_056085876.1
SKDI_01G0750	XP_056085877.1
SKDI_01G0760	XP_056085878.1
SKDI_01G0770	XP_056085879.1
SKDI_01G0780	XP_056085880.1
SKDI_01G0790	XP_056085881.1
SKDI_01G0800	XP_056085882.1
SKDI_01G0810	XP_056085883.1
SKDI_01G0820	XP_056085884.1
SKDI_01G0830	XP_056085885.1
SKDI_01G0840	XP_056085886.1
SKDI_01G0850	XP_056085887.1
SKDI_01G0860	XP_056085888.1
SKDI_01G0870	XP_056085889.1
SKDI_01G0880	XP_056085890.1
SKDI_01G0890	XP_056085891.1
SKDI_01G0900	XP_056085892.1
SKDI_01G0910	XP_056085893.1
SKDI_01G0920	XP_056085894.1
SKDI_01G0930	XP_056085895.1
SKDI_01G0940	XP_056085896.1
SKDI_01G0950	XP_056085897.1
SKDI_02G0010	XP_056085898.1
