NCAS_0A00100	XP_003672961.1
NCAS_0A00110	XP_003672962.1
NCAS_0A00120	XP_003672963.1
NCAS_0A00130	XP_003672964.1
NCAS_0A00140	XP_003672965.1
NCAS_0A00150	XP_003672966.1
NCAS_0A00160	XP_003672967.1
NCAS_0A00170	XP_003672968.1
NCAS_0A00180	XP_003672969.1
NCAS_0A00190	XP_003672970.1
NCAS_0A00200	XP_003672971.1
NCAS_0A00210	XP_003672972.1
NCAS_0A00220	XP_003672973.1
NCAS_0A00230	XP_003672974.1
NCAS_0A00240	XP_003672975.1
NCAS_0A00250	XP_003672976.1
NCAS_0A00260	XP_003672977.1
NCAS_0A00270	XP_003672978.1
NCAS_0A00280	XP_003672979.1
NCAS_0A00290	XP_003672980.1
NCAS_0A00300	XP_003672981.1
NCAS_0A00310	XP_003672982.1
NCAS_0A00320	XP_003672983.1
NCAS_0A00330	XP_003672984.1
NCAS_0A00340	XP_003672985.1
NCAS_0A00350	XP_003672986.1
NCAS_0A00360	XP_003672987.1
NCAS_0A00370	XP_003672988.1
NCAS_0A00380	XP_003672989.1
NCAS_0A00390	XP_003672990.1
NCAS_0A00400	XP_003672991.1
NCAS_0A00410	XP_003672992.1
NCAS_0A00420	XP_003672993.1
NCAS_0A00430	XP_003672994.1
NCAS_0A00440	XP_003672995.1
NCAS_0A00450	XP_003672996.1
NCAS_0A00460	XP_003672997.1
NCAS_0A00470	XP_003672998.1
NCAS_0A00470	XP_003672998.1
NCAS_0A00480	XP_003672999.1
NCAS_0A00490	XP_003673000.1
NCAS_0A00500	XP_003673001.1
NCAS_0A00510	XP_003673002.1
NCAS_0A00520	XP_003673003.1
NCAS_0A00530	XP_003673004.1
NCAS_0A00540	XP_003673005.1
NCAS_0A00550	XP_003673006.1
NCAS_0A00560	XP_003673007.1
NCAS_0A00570	XP_003673008.1
NCAS_0A00580	XP_003673009.1
NCAS_0A00590	XP_003673010.1
NCAS_0A00600	XP_003673011.1
NCAS_0A00610	XP_003673012.1
NCAS_0A00620	XP_003673013.1
NCAS_0A00630	XP_003673014.1
NCAS_0A00630	XP_003673014.1
NCAS_0A00640	XP_003673015.1
NCAS_0A00650	XP_003673016.1
NCAS_0A00660	XP_003673017.1
NCAS_0A00670	XP_003673018.1
NCAS_0A00680	XP_003673019.1
NCAS_0A00690	XP_003673020.1
NCAS_0A00700	XP_003673021.1
NCAS_0A00710	XP_003673022.1
NCAS_0A00720	XP_003673023.1
NCAS_0A00730	XP_003673024.1
NCAS_0A00740	XP_003673025.1
NCAS_0A00750	XP_003673026.1
NCAS_0A00760	XP_003673027.1
NCAS_0A00770	XP_003673028.1
NCAS_0A00780	XP_003673029.1
NCAS_0A00790	XP_003673030.1
NCAS_0A00800	XP_003673031.1
NCAS_0A00810	XP_003673032.1
NCAS_0A00820	XP_003673033.1
NCAS_0A00830	XP_003673034.1
NCAS_0A00840	XP_003673035.1
NCAS_0A00850	XP_003673036.1
NCAS_0A00860	XP_003673037.1
NCAS_0A00870	XP_003673038.1
NCAS_0A00880	XP_003673039.1
NCAS_0A00890	XP_003673040.1
NCAS_0A00900	XP_003673041.1
NCAS_0A00910	XP_003673042.1
NCAS_0A00920	XP_003673043.1
NCAS_0A00930	XP_003673044.1
NCAS_0A00940	XP_003673045.1
NCAS_0A00950	XP_003673046.1
NCAS_0A00960	XP_003673047.1
NCAS_0A00970	XP_003673048.1
NCAS_0A00980	XP_003673049.1
NCAS_0A00990	XP_003673050.1
NCAS_0A01000	XP_003673051.1
NCAS_0A01010	XP_003673052.1
NCAS_0A01020	XP_003673053.1
NCAS_0A01030	XP_003673054.1
NCAS_0A01040	XP_003673055.1
NCAS_0A01050	XP_003673056.1
NCAS_0A01060	XP_003673057.1
NCAS_0A01070	XP_003673058.1
NCAS_0A01080	XP_003673059.1
NCAS_0A01090	XP_003673060.1
NCAS_0A01100	XP_003673061.1
