SUVZ_01G0010	CAI4055522.1
SUVZ_01G0020	CAI4055526.1
SUVZ_01G0030	CAI4055530.1
SUVZ_01G0040	CAI4055534.1
SUVZ_01G0050	CAI4055538.1
SUVZ_01G0060	CAI4055542.1
SUVZ_01G0080	CAI4055546.1
SUVZ_01G0090	CAI4055550.1
SUVZ_01G0100	CAI4055554.1
SUVZ_01G0110	CAI4055558.1
SUVZ_01G0120	CAI4055562.1
SUVZ_01G0130	CAI4055566.1
SUVZ_01G0140	CAI4055570.1
SUVZ_01G0150	CAI4055574.1
SUVZ_01G0170	CAI4055578.1
SUVZ_01G0180	CAI4055582.1
SUVZ_01G0190	CAI4055586.1
SUVZ_01G0210	CAI4055590.1
SUVZ_01G0220	CAI4055594.1
SUVZ_01G0230	CAI4055598.1
SUVZ_01G0240	CAI4055602.1
SUVZ_01G0250	CAI4055606.1
SUVZ_01G0260	CAI4055610.1
SUVZ_01G0270	CAI4055614.1
SUVZ_01G0280	CAI4055618.1
SUVZ_01G0290	CAI4055622.1
SUVZ_01G0300	CAI4055626.1
SUVZ_01G0320	CAI4055630.1
SUVZ_01G0330	CAI4055634.1
SUVZ_01G0340	CAI4055638.1
SUVZ_01G0350	CAI4055642.1
SUVZ_01G0360	CAI4055646.1
SUVZ_01G0360	CAI4055646.1
SUVZ_01G0370	CAI4055650.1
SUVZ_01G0380	CAI4055654.1
SUVZ_01G0390	CAI4055658.1
SUVZ_01G0400	CAI4055662.1
SUVZ_01G0410	CAI4055666.1
SUVZ_01G0420	CAI4055670.1
SUVZ_01G0430	CAI4055674.1
SUVZ_01G0440	CAI4055678.1
SUVZ_01G0450	CAI4055682.1
SUVZ_01G0460	CAI4055686.1
SUVZ_01G0480	CAI4055690.1
SUVZ_01G0490	CAI4055694.1
SUVZ_01G0500	CAI4055698.1
SUVZ_01G0510	CAI4055702.1
SUVZ_01G0520	CAI4055706.1
SUVZ_01G0530	CAI4055710.1
SUVZ_01G0540	CAI4055714.1
SUVZ_01G0550	CAI4055718.1
SUVZ_01G0560	CAI4055722.1
SUVZ_01G0570	CAI4055726.1
SUVZ_01G0580	CAI4055730.1
SUVZ_01G0590	CAI4055734.1
SUVZ_01G0600	CAI4055738.1
SUVZ_01G0610	CAI4055742.1
SUVZ_01G0620	CAI4055746.1
SUVZ_01G0620	CAI4055746.1
SUVZ_01G0630	CAI4055750.1
SUVZ_01G0640	CAI4055754.1
SUVZ_01G0640	CAI4055754.1
SUVZ_01G0650	CAI4055758.1
SUVZ_01G0660	CAI4055762.1
SUVZ_01G0670	CAI4055766.1
SUVZ_01G0680	CAI4055770.1
SUVZ_01G0690	CAI4055774.1
SUVZ_01G0700	CAI4055778.1
SUVZ_01G0710	CAI4055782.1
SUVZ_01G0720	CAI4055786.1
SUVZ_01G0730	CAI4055790.1
SUVZ_01G0735	CAI4055794.1
SUVZ_01G0740	CAI4055798.1
SUVZ_01G0750	CAI4055802.1
SUVZ_01G0760	CAI4055806.1
SUVZ_01G0770	CAI4055810.1
SUVZ_01G0780	CAI4055814.1
SUVZ_01G0790	CAI4055818.1
SUVZ_01G0800	CAI4055822.1
SUVZ_01G0810	CAI4055826.1
SUVZ_01G0820	CAI4055830.1
SUVZ_01G0830	CAI4055834.1
SUVZ_02G0010	CAI4055876.1
SUVZ_02G0020	CAI4055880.1
SUVZ_02G0030	CAI4055884.1
SUVZ_02G0040	CAI4055888.1
SUVZ_02G0060	CAI4055892.1
SUVZ_02G0070	CAI4055896.1
SUVZ_02G0080	CAI4055900.1
SUVZ_02G0090	CAI4055904.1
SUVZ_02G0100	CAI4055908.1
SUVZ_02G0110	CAI4055912.1
SUVZ_02G0120	CAI4055916.1
SUVZ_02G0130	CAI4055920.1
SUVZ_02G0140	CAI4055924.1
SUVZ_02G0150	CAI4055928.1
SUVZ_02G0160	CAI4055932.1
SUVZ_02G0170	CAI4055936.1
SUVZ_02G0190	CAI4055940.1
SUVZ_02G0200	CAI4055944.1
SUVZ_02G0210	CAI4055948.1
SUVZ_02G0230	CAI4055952.1
SUVZ_02G0240	CAI4055956.1
SUVZ_02G0250	CAI4055960.1
SUVZ_02G0260	CAI4055964.1
SUVZ_02G0260	CAI4055964.1
SUVZ_02G0270	CAI4055968.1
SUVZ_02G0280	CAI4055972.1
SUVZ_02G0290	CAI4055976.1
SUVZ_02G0300	CAI4055980.1
SUVZ_02G0310	CAI4055984.1
SUVZ_02G0310	CAI4055984.1
SUVZ_02G0320	CAI4055988.1
