DI49_0001	XP_018224050.1
DI49_0002	XP_018224051.1
DI49_0003	XP_018224052.1
DI49_0004	XP_018224053.1
DI49_0005	XP_018224054.1
DI49_0006	XP_018224055.1
DI49_0007	XP_018224056.1
DI49_0008	XP_018224057.1
DI49_0009	XP_018224058.1
DI49_0010	XP_018224059.1
DI49_0011	XP_018224060.1
DI49_0012	XP_018224061.1
DI49_0013	XP_018224062.1
DI49_0014	XP_018224063.1
DI49_0015	XP_018224064.1
DI49_0016	XP_018224065.1
DI49_0017	XP_018224066.1
DI49_0018	XP_018224067.1
DI49_0019	XP_018224068.1
DI49_0020	XP_018224069.1
DI49_0021	XP_018224070.1
DI49_0022	XP_018224071.1
DI49_0023	XP_018224072.1
DI49_0024	XP_018224073.1
DI49_0025	XP_018224074.1
DI49_0026	XP_018224075.1
DI49_0027	XP_018224076.1
DI49_0028	XP_018224077.1
DI49_0029	XP_018224078.1
DI49_0030	XP_018224079.1
DI49_0031	XP_018224080.1
DI49_0032	XP_018224081.1
DI49_0033	XP_018224082.1
DI49_0034	XP_018224083.1
DI49_0035	XP_018224084.1
DI49_0036	XP_018224085.1
DI49_0037	XP_018224086.1
DI49_0038	XP_018224087.1
DI49_0039	XP_018224088.1
DI49_0040	XP_018224089.1
DI49_0041	XP_018224090.1
DI49_0042	XP_018224091.1
DI49_0043	XP_018224092.1
DI49_0044	XP_018224093.1
DI49_0045	XP_018224094.1
DI49_0046	XP_018224095.1
DI49_0047	XP_018224096.1
DI49_0048	XP_018224097.1
DI49_0049	XP_018224098.1
DI49_0050	XP_018224099.1
DI49_0051	XP_018224100.1
DI49_0052	XP_018224101.1
DI49_0053	XP_018224102.1
DI49_0055	XP_018224103.1
DI49_0056	XP_018224104.1
DI49_0056	XP_018224104.1
DI49_0057	XP_018224105.1
DI49_0058	XP_018224106.1
DI49_0058	XP_018224106.1
DI49_0059	XP_018224107.1
DI49_0060	XP_018224108.1
DI49_0061	XP_018224109.1
DI49_0062	XP_018224110.1
DI49_0063	XP_018224111.1
DI49_0064	XP_018224112.1
DI49_0065	XP_018224113.1
DI49_0066	XP_018224114.1
DI49_0068	XP_018224115.1
DI49_0069	XP_018224116.1
DI49_0070	XP_018224117.1
DI49_0071	XP_018224118.1
DI49_0072	XP_018224119.1
DI49_0073	XP_018224120.1
DI49_0075	XP_018224121.1
DI49_0076	XP_018224122.1
DI49_0077	XP_018224123.1
DI49_0078	XP_018223461.1
DI49_0079	XP_018223462.1
DI49_0080	XP_018223463.1
DI49_0082	XP_018223464.1
DI49_0083	XP_018223465.1
DI49_0084	XP_018223466.1
DI49_0085	XP_018223467.1
DI49_0086	XP_018223468.1
DI49_0087	XP_018223469.1
DI49_0088	XP_018223470.1
DI49_0090	XP_018223471.1
DI49_0091	XP_018223472.1
DI49_0092	XP_018223473.1
DI49_0093	XP_018223474.1
DI49_0094	XP_018223475.1
DI49_0095	XP_018223476.1
DI49_0096	XP_018223477.1
DI49_0097	XP_018223478.1
DI49_0098	XP_018223479.1
DI49_0099	XP_018223480.1
DI49_0100	XP_018223481.1
DI49_0101	XP_018223482.1
DI49_0102	XP_018223483.1
DI49_0103	XP_018223484.1
DI49_0104	XP_018223485.1
DI49_0105	XP_018223486.1
DI49_0106	XP_018223487.1
