SPAR_A00010	XP_033764409.1
SPAR_A00020	XP_033764410.1
SPAR_A00030	XP_033764411.1
SPAR_A00040	XP_033764412.1
SPAR_A00050	XP_033764413.1
SPAR_A00060	XP_033764414.1
SPAR_A00070	XP_033764415.1
SPAR_A00080	XP_033764416.1
SPAR_A00090	XP_033764417.1
SPAR_A00100	XP_033764418.1
SPAR_A00110	XP_033764419.1
SPAR_A00120	XP_033764420.1
SPAR_A00130	XP_033764421.1
SPAR_A00140	XP_033764422.1
SPAR_A00150	XP_033764423.1
SPAR_A00160	XP_033764424.1
SPAR_A00170	XP_033764425.1
SPAR_A00180	XP_033764426.1
SPAR_A00190	XP_033764427.1
SPAR_A00200	XP_033764428.1
SPAR_A00210	XP_033764429.1
SPAR_A00220	XP_033764430.1
SPAR_A00230	XP_033764431.1
SPAR_A00240	XP_033764432.1
SPAR_A00250	XP_033764433.1
SPAR_A00260	XP_033764434.1
SPAR_A00270	XP_033764435.1
SPAR_A00280	XP_033764436.1
SPAR_A00290	XP_033764437.1
SPAR_A00300	XP_033764438.1
SPAR_A00310	XP_033764439.1
SPAR_A00320	XP_033764440.1
SPAR_A00330	XP_033764441.1
SPAR_A00340	XP_033764442.1
SPAR_A00350	XP_033764443.1
SPAR_A00350	XP_033764443.1
SPAR_A00360	XP_033764444.1
SPAR_A00370	XP_033764445.1
SPAR_A00380	XP_033764446.1
SPAR_A00390	XP_033764447.1
SPAR_A00400	XP_033764448.1
SPAR_A00410	XP_033764449.1
SPAR_A00420	XP_033764450.1
SPAR_A00430	XP_033764451.1
SPAR_A00440	XP_033764452.1
SPAR_A00450	XP_033764453.1
SPAR_A00460	XP_033764454.1
SPAR_A00470	XP_033764455.1
SPAR_A00480	XP_033764456.1
SPAR_A00490	XP_033764457.1
SPAR_A00500	XP_033764458.1
SPAR_A00510	XP_033764459.1
SPAR_A00520	XP_033764460.1
SPAR_A00530	XP_033764461.1
SPAR_A00540	XP_033764462.1
SPAR_A00550	XP_033764463.1
SPAR_A00560	XP_033764464.1
SPAR_A00570	XP_033764465.1
SPAR_A00580	XP_033764466.1
SPAR_A00590	XP_033764467.1
SPAR_A00600	XP_033764468.1
SPAR_A00600	XP_033764468.1
SPAR_A00610	XP_033764469.1
SPAR_A00620	XP_033764470.1
SPAR_A00630	XP_033764471.1
SPAR_A00640	XP_033764472.1
SPAR_A00650	XP_033764473.1
SPAR_A00660	XP_033764474.1
SPAR_A00670	XP_033764475.1
SPAR_A00680	XP_033764476.1
SPAR_A00690	XP_033764477.1
SPAR_A00700	XP_033764478.1
SPAR_A00710	XP_033764479.1
SPAR_A00720	XP_033764480.1
SPAR_A00730	XP_033764481.1
SPAR_A00740	XP_033764482.1
SPAR_A00750	XP_033764483.1
SPAR_A00760	XP_033764484.1
SPAR_A00770	XP_033764485.1
SPAR_A00780	XP_033764486.1
SPAR_A00790	XP_033764487.1
SPAR_A00800	XP_033764488.1
SPAR_A00810	XP_033764489.1
SPAR_A00820	XP_033764490.1
SPAR_A00825	XP_033764491.1
SPAR_A00830	XP_033764492.1
