KAFR_0A00100	XP_003954583.1
KAFR_0A00110	XP_003954584.1
KAFR_0A00120	XP_003954585.1
KAFR_0A00130	XP_003954586.1
KAFR_0A00140	XP_003954587.1
KAFR_0A00150	XP_003954588.1
KAFR_0A00160	XP_003954589.1
KAFR_0A00170	XP_003954590.1
KAFR_0A00180	XP_003954591.1
KAFR_0A00190	XP_003954592.1
KAFR_0A00200	XP_003954593.1
KAFR_0A00210	XP_003954594.1
KAFR_0A00220	XP_003954595.1
KAFR_0A00230	XP_003954596.1
KAFR_0A00240	XP_003954597.1
KAFR_0A00250	XP_003954598.1
KAFR_0A00260	XP_003954599.1
KAFR_0A00270	XP_003954600.1
KAFR_0A00280	XP_003954601.1
KAFR_0A00290	XP_003954602.1
KAFR_0A00300	XP_003954603.1
KAFR_0A00310	XP_003954604.1
KAFR_0A00320	XP_003954605.1
KAFR_0A00330	XP_003954606.1
KAFR_0A00340	XP_003954607.1
KAFR_0A00350	XP_003954608.1
KAFR_0A00360	XP_003954609.1
KAFR_0A00370	XP_003954610.1
KAFR_0A00380	XP_003954611.1
KAFR_0A00390	XP_003954612.1
KAFR_0A00400	XP_003954613.1
KAFR_0A00410	XP_003954614.1
KAFR_0A00420	XP_003954615.1
KAFR_0A00430	XP_003954616.1
KAFR_0A00440	XP_003954617.1
KAFR_0A00450	XP_003954618.1
KAFR_0A00460	XP_003954619.1
KAFR_0A00470	XP_003954620.1
KAFR_0A00480	XP_003954621.1
KAFR_0A00490	XP_003954622.1
KAFR_0A00500	XP_003954623.1
KAFR_0A00510	XP_003954624.1
KAFR_0A00510	XP_003954624.1
KAFR_0A00520	XP_003954625.1
KAFR_0A00530	XP_003954626.1
KAFR_0A00540	XP_003954627.1
KAFR_0A00550	XP_003954628.1
KAFR_0A00560	XP_003954629.1
KAFR_0A00570	XP_003954630.1
KAFR_0A00580	XP_003954631.1
KAFR_0A00590	XP_003954632.1
KAFR_0A00600	XP_003954633.1
KAFR_0A00610	XP_003954634.1
KAFR_0A00620	XP_003954635.1
KAFR_0A00630	XP_003954636.1
KAFR_0A00640	XP_003954637.1
KAFR_0A00650	XP_003954638.1
KAFR_0A00660	XP_003954639.1
KAFR_0A00670	XP_003954640.1
KAFR_0A00680	XP_003954641.1
KAFR_0A00690	XP_003954642.1
KAFR_0A00700	XP_003954643.1
KAFR_0A00710	XP_003954644.1
KAFR_0A00720	XP_003954645.1
KAFR_0A00730	XP_003954646.1
KAFR_0A00740	XP_003954647.1
KAFR_0A00750	XP_003954648.1
KAFR_0A00760	XP_003954649.1
KAFR_0A00770	XP_003954650.1
KAFR_0A00790	XP_003954651.1
KAFR_0A00795	XP_003954652.1
KAFR_0A00800	XP_003954653.1
KAFR_0A00810	XP_003954654.1
KAFR_0A00820	XP_003954655.1
KAFR_0A00830	XP_003954656.1
KAFR_0A00840	XP_003954657.1
KAFR_0A00850	XP_003954658.1
KAFR_0A00860	XP_003954659.1
KAFR_0A00870	XP_003954660.1
KAFR_0A00880	XP_003954661.1
KAFR_0A00890	XP_003954662.1
KAFR_0A00900	XP_003954663.1
KAFR_0A00910	XP_003954664.1
KAFR_0A00920	XP_003954665.1
KAFR_0A00930	XP_003954666.1
KAFR_0A00940	XP_003954667.1
KAFR_0A00950	XP_003954668.1
KAFR_0A00960	XP_003954669.1
KAFR_0A00970	XP_003954670.1
KAFR_0A00980	XP_003954671.1
KAFR_0A00990	XP_003954672.1
KAFR_0A01000	XP_003954673.1
KAFR_0A01010	XP_003954674.1
KAFR_0A01015	XP_003954675.1
KAFR_0A01020	XP_003954676.1
KAFR_0A01030	XP_003954677.1
KAFR_0A01040	XP_003954678.1
KAFR_0A01050	XP_003954679.1
KAFR_0A01060	XP_003954680.1
KAFR_0A01070	XP_003954681.1
KAFR_0A01080	XP_003954682.1
KAFR_0A01090	XP_003954683.1
KAFR_0A01100	XP_003954684.1
KAFR_0A01110	XP_003954685.1
KAFR_0A01120	XP_003954686.1
KAFR_0A01130	XP_003954687.1
KAFR_0A01140	XP_003954688.1
KAFR_0A01150	XP_003954689.1
KAFR_0A01160	XP_003954690.1
KAFR_0A01170	XP_003954691.1
KAFR_0A01180	XP_003954692.1
KAFR_0A01190	XP_003954693.1
KAFR_0A01200	XP_003954694.1
KAFR_0A01210	XP_003954695.1
KAFR_0A01220	XP_003954696.1
KAFR_0A01230	XP_003954697.1
KAFR_0A01240	XP_003954698.1
KAFR_0A01250	XP_003954699.1
KAFR_0A01260	XP_003954700.1
KAFR_0A01270	XP_003954701.1
KAFR_0A01280	XP_003954702.1
KAFR_0A01300	XP_003954703.1
KAFR_0A01310	XP_003954704.1
KAFR_0A01320	XP_003954705.1
KAFR_0A01330	XP_003954706.1
KAFR_0A01340	XP_003954707.1
KAFR_0A01350	XP_003954708.1
KAFR_0A01360	XP_003954709.1
KAFR_0A01370	XP_003954710.1
KAFR_0A01380	XP_003954711.1
KAFR_0A01390	XP_003954712.1
KAFR_0A01400	XP_003954713.1
KAFR_0A01410	XP_003954714.1
KAFR_0A01420	XP_003954715.1
KAFR_0A01430	XP_003954716.1
KAFR_0A01440	XP_003954717.1
KAFR_0A01450	XP_003954718.1
KAFR_0A01460	XP_003954719.1
KAFR_0A01470	XP_003954720.1
KAFR_0A01480	XP_003954721.1
KAFR_0A01490	XP_003954722.1
KAFR_0A01500	XP_003954723.1
KAFR_0A01510	XP_003954724.1
KAFR_0A01520	XP_003954725.1
KAFR_0A01530	XP_003954726.1
KAFR_0A01540	XP_003954727.1
KAFR_0A01550	XP_003954728.1
KAFR_0A01560	XP_003954729.1
KAFR_0A01570	XP_003954730.1
KAFR_0A01580	XP_003954731.1
KAFR_0A01590	XP_003954732.1
KAFR_0A01600	XP_003954733.1
KAFR_0A01610	XP_003954734.1
KAFR_0A01620	XP_003954735.1
KAFR_0A01630	XP_003954736.1
KAFR_0A01640	XP_003954737.1
KAFR_0A01650	XP_003954738.1
KAFR_0A01660	XP_003954739.1
KAFR_0A01670	XP_003954740.1
KAFR_0A01680	XP_003954741.1
KAFR_0A01690	XP_003954742.1
KAFR_0A01700	XP_003954743.1
KAFR_0A01710	XP_003954744.1
KAFR_0A01720	XP_003954745.1
KAFR_0A01730	XP_003954746.1
KAFR_0A01740	XP_003954747.1
KAFR_0A01750	XP_003954748.1
KAFR_0A01760	XP_003954749.1
KAFR_0A01770	XP_003954750.1
KAFR_0A01780	XP_003954751.1
KAFR_0A01790	XP_003954752.1
KAFR_0A01800	XP_003954753.1
KAFR_0A01810	XP_003954754.1
KAFR_0A01820	XP_003954755.1
KAFR_0A01830	XP_003954756.1
KAFR_0A01840	XP_003954757.1
KAFR_0A01850	XP_003954758.1
KAFR_0A01860	XP_003954759.1
KAFR_0A01870	XP_003954760.1
KAFR_0A01880	XP_003954761.1
KAFR_0A01890	XP_003954762.1
KAFR_0A01900	XP_003954763.1
KAFR_0A01910	XP_003954764.1
KAFR_0A01920	XP_003954765.1
KAFR_0A01930	XP_003954766.1
KAFR_0A01940	XP_003954767.1
KAFR_0A01940	XP_003954767.1
KAFR_0A01950	XP_003954768.1
KAFR_0A01960	XP_003954769.1
KAFR_0A01970	XP_003954770.1
KAFR_0A01980	XP_003954771.1
KAFR_0A01990	XP_003954772.1
KAFR_0A02000	XP_003954773.1
KAFR_0A02010	XP_003954774.1
KAFR_0A02020	XP_003954775.1
KAFR_0A02030	XP_003954776.1
KAFR_0A02040	XP_003954777.1
KAFR_0A02050	XP_003954778.1
KAFR_0A02060	XP_003954779.1
KAFR_0A02070	XP_003954780.1
KAFR_0A02080	XP_003954781.1
KAFR_0A02090	XP_003954782.1
KAFR_0A02100	XP_003954783.1
KAFR_0A02110	XP_003954784.1
KAFR_0A02120	XP_003954785.1
KAFR_0A02130	XP_003954786.1
KAFR_0A02140	XP_003954787.1
KAFR_0A02150	XP_003954788.1
KAFR_0A02160	XP_003954789.1
KAFR_0A02170	XP_003954790.1
KAFR_0A02180	XP_003954791.1
KAFR_0A02190	XP_003954792.1
KAFR_0A02200	XP_003954793.1
KAFR_0A02210	XP_003954794.1
KAFR_0A02220	XP_003954795.1
KAFR_0A02230	XP_003954796.1
KAFR_0A02240	XP_003954797.1
KAFR_0A02250	XP_003954798.1
KAFR_0A02260	XP_003954799.1
KAFR_0A02270	XP_003954800.1
KAFR_0A02280	XP_003954801.1
KAFR_0A02290	XP_003954802.1
KAFR_0A02300	XP_003954803.1
KAFR_0A02310	XP_003954804.1
KAFR_0A02320	XP_003954805.1
KAFR_0A02330	XP_003954806.1
KAFR_0A02340	XP_003954807.1
KAFR_0A02350	XP_003954808.1
KAFR_0A02360	XP_003954809.1
KAFR_0A02370	XP_003954810.1
KAFR_0A02380	XP_003954811.1
KAFR_0A02390	XP_003954812.1
KAFR_0A02400	XP_003954813.1
KAFR_0A02410	XP_003954814.1
KAFR_0A02420	XP_003954815.1
KAFR_0A02430	XP_003954816.1
KAFR_0A02440	XP_003954817.1
KAFR_0A02450	XP_003954818.1
KAFR_0A02480	XP_003954819.1
KAFR_0A02490	XP_003954820.1
KAFR_0A02500	XP_003954821.1
KAFR_0A02510	XP_003954822.1
KAFR_0A02520	XP_003954823.1
KAFR_0A02530	XP_003954824.1
