GVI51_A00011	XP_065482658.1
GVI51_A00033	XP_444779.1
GVI51_A00055	XP_444780.1
GVI51_A00077	XP_444781.1
GVI51_A00099	XP_444782.1
GVI51_A00121	XP_444783.1
GVI51_A00143	XP_444784.1
GVI51_A00165	XP_444785.1
GVI51_A00187	XP_444786.1
GVI51_A00209	XP_444787.1
GVI51_A00231	XP_444788.1
GVI51_A00253	XP_444789.1
GVI51_A00275	XP_444790.1
GVI51_A00297	XP_444791.1
GVI51_A00319	XP_444792.1
GVI51_A00341	XP_444793.1
GVI51_A00363	XP_444794.1
GVI51_A00385	XP_444795.1
GVI51_A00407	XP_444796.1
GVI51_A00429	XP_444797.1
GVI51_A00451	XP_444798.1
GVI51_A00473	XP_444799.1
GVI51_A00495	XP_444800.1
GVI51_A00517	XP_444801.1
GVI51_A00561	XP_444802.1
GVI51_A00583	XP_444803.1
GVI51_A00605	XP_444804.2
GVI51_A00627	XP_444805.1
GVI51_A00649	XP_444806.1
GVI51_A00671	XP_444807.1
GVI51_A00693	XP_444808.1
GVI51_A00715	XP_444809.1
GVI51_A00737	XP_444810.1
GVI51_A00759	XP_444811.1
GVI51_A00781	XP_444812.1
GVI51_A00803	XP_444813.1
GVI51_A00825	XP_444814.1
GVI51_A00847	XP_444815.1
GVI51_A00869	XP_444816.1
GVI51_A00891	XP_444817.1
GVI51_A00913	XP_444818.1
GVI51_A00935	XP_444819.1
GVI51_A00957	XP_444820.1
GVI51_A00979	XP_444821.1
GVI51_A01001	XP_444822.1
GVI51_A01023	XP_002999509.1
GVI51_A01045	XP_444823.1
GVI51_A01067	XP_444824.1
GVI51_A01089	XP_444825.1
GVI51_A01111	XP_002999510.1
GVI51_A01133	XP_002999511.1
GVI51_A01155	XP_002999512.1
GVI51_A01177	XP_444828.1
GVI51_A01199	XP_444829.1
GVI51_A01221	XP_444830.1
GVI51_A01243	XP_444831.1
GVI51_A01287	XP_444832.1
GVI51_A01287	XP_444832.1
GVI51_A01309	XP_444833.1
GVI51_A01331	XP_444834.1
GVI51_A01353	XP_444835.2
GVI51_A01353	XP_444835.2
GVI51_A01375	XP_444836.1
GVI51_A01397	XP_444837.1
GVI51_A01419	XP_444838.1
GVI51_A01441	XP_444839.1
GVI51_A01463	XP_444840.1
GVI51_A01485	XP_444841.1
GVI51_A01507	XP_444842.1
GVI51_A01529	XP_444843.1
GVI51_A01551	XP_444844.1
GVI51_A01573	XP_444845.2
GVI51_A01595	XP_444846.1
GVI51_A01617	XP_444847.1
GVI51_A01639	XP_444848.1
GVI51_A01661	XP_444849.1
GVI51_A01705	XP_444850.1
GVI51_A01727	XP_444851.1
GVI51_A01749	XP_444852.1
GVI51_A01771	XP_444853.1
GVI51_A01793	XP_444854.1
GVI51_A01837	XP_444855.1
GVI51_A01859	XP_444856.1
GVI51_A01881	XP_444857.2
GVI51_A01903	XP_444858.2
GVI51_A01947	XP_444859.1
GVI51_A01969	XP_444860.1
GVI51_A01991	XP_444861.1
GVI51_A02013	XP_444862.1
GVI51_A02035	XP_444863.1
GVI51_A02057	XP_444864.1
GVI51_A02079	XP_444865.1
GVI51_A02101	XP_444866.1
GVI51_A02123	XP_444867.1
GVI51_A02145	XP_444868.1
GVI51_A02167	XP_444869.1
GVI51_A02189	XP_444870.1
GVI51_A02233	XP_444871.1
GVI51_A02255	XP_444872.1
GVI51_A02277	XP_444873.1
GVI51_A02299	XP_444874.1
GVI51_A02321	XP_444875.1
GVI51_A02343	XP_444876.1
GVI51_A02365	XP_444877.1
GVI51_A02387	XP_444878.1
GVI51_A02409	XP_444879.1
GVI51_A02431	XP_444880.1
GVI51_A02453	XP_444881.1
GVI51_A02475	XP_444882.1
GVI51_A02497	XP_444883.1
GVI51_A02519	XP_444884.1
GVI51_A02541	XP_444885.1
GVI51_A02563	XP_444886.1
GVI51_A02585	XP_444887.1
GVI51_A02585	XP_444887.1
GVI51_A02607	XP_444888.1
GVI51_A02629	XP_444889.1
GVI51_A02651	XP_444890.1
GVI51_A02673	XP_444891.1
GVI51_A02695	XP_444892.1
GVI51_A02717	XP_444893.1
GVI51_A02739	XP_444894.1
GVI51_A02761	XP_444895.1
GVI51_A02783	XP_065482659.1
GVI51_A02805	XP_444896.1
GVI51_A02827	XP_444897.1
GVI51_A02849	XP_444898.1
GVI51_A02871	XP_002999513.1
GVI51_A02871	XP_002999513.1
GVI51_A02893	XP_444900.1
GVI51_A02915	XP_444901.1
GVI51_A02937	XP_444902.1
GVI51_A02959	XP_444903.1
GVI51_A02959	XP_444903.1
GVI51_A02981	XP_444904.1
GVI51_A03003	XP_444905.1
GVI51_A03025	XP_444906.1
GVI51_A03047	XP_444907.1
GVI51_A03069	XP_444908.1
GVI51_A03091	XP_444909.1
GVI51_A03113	XP_444910.1
GVI51_A03113	XP_444910.1
GVI51_A03135	XP_444911.2
GVI51_A03157	XP_444912.1
GVI51_A03179	XP_444913.1
GVI51_A03201	XP_444914.1
GVI51_A03223	XP_444915.1
GVI51_A03245	XP_444916.1
GVI51_A03267	XP_444917.1
GVI51_A03289	XP_444918.1
GVI51_A03311	XP_444919.1
GVI51_A03333	XP_444920.1
GVI51_A03377	XP_444921.1
GVI51_A03399	XP_444922.1
GVI51_A03421	XP_444923.1
GVI51_A03443	XP_444924.1
GVI51_A03465	XP_444925.1
GVI51_A03487	XP_444926.1
GVI51_A03509	XP_444927.1
GVI51_A03531	XP_444928.1
GVI51_A03553	XP_444929.1
GVI51_A03575	XP_444930.1
GVI51_A03619	XP_444931.1
GVI51_A03641	XP_444932.1
GVI51_A03663	XP_444933.1
GVI51_A03707	XP_444934.1
GVI51_A03729	XP_444935.1
GVI51_A03751	XP_444936.2
GVI51_A03773	XP_444937.1
GVI51_A03795	XP_444938.1
GVI51_A03817	XP_444939.1
GVI51_A03839	XP_444940.2
GVI51_A03839	XP_444940.2
GVI51_A03861	XP_444941.1
GVI51_A03883	XP_444942.1
GVI51_A03905	XP_444943.1
GVI51_A03927	XP_444944.1
GVI51_A03949	XP_444945.1
GVI51_A03971	XP_444946.1
GVI51_A03993	XP_444947.1
GVI51_A04015	XP_444948.1
GVI51_A04037	XP_444949.1
GVI51_A04059	XP_444950.1
GVI51_A04081	XP_444951.1
GVI51_A04103	XP_444952.1
GVI51_A04125	XP_444953.1
GVI51_A04147	XP_444954.1
GVI51_A04169	XP_444955.1
GVI51_A04191	XP_444956.1
GVI51_A04213	XP_444957.1
GVI51_A04235	XP_444958.2
GVI51_A04235	XP_444958.2
GVI51_A04257	XP_444959.1
GVI51_A04279	XP_444960.1
GVI51_A04301	XP_444961.1
GVI51_A04323	XP_444962.1
GVI51_A04345	XP_444963.1
GVI51_A04367	XP_444964.1
GVI51_A04389	XP_444965.1
GVI51_A04411	XP_444966.1
GVI51_A04433	XP_444967.1
GVI51_A04455	XP_444969.1
GVI51_A04477	XP_444970.1
GVI51_A04499	XP_444971.1
GVI51_A04521	XP_444972.1
GVI51_A04543	XP_444973.1
GVI51_A04565	XP_444974.1
GVI51_A04587	XP_444976.1
GVI51_A04609	XP_444977.1
GVI51_A04631	XP_444978.1
GVI51_B00011	XP_065482660.1
GVI51_B00055	XP_002999514.1
GVI51_B00077	XP_444980.2
GVI51_B00099	XP_444981.1
GVI51_B00121	XP_444982.1
GVI51_B00143	XP_444983.1
GVI51_B00165	XP_444984.1
GVI51_B00187	XP_444985.1
GVI51_B00209	XP_444986.1
GVI51_B00231	XP_444987.2
GVI51_B00253	XP_444988.1
GVI51_B00275	XP_444989.1
GVI51_B00297	XP_444990.1
GVI51_B00319	XP_444991.1
GVI51_B00341	XP_444992.1
GVI51_B00363	XP_444993.1
GVI51_B00385	XP_444994.1
GVI51_B00407	XP_444995.1
GVI51_B00429	XP_444996.1
GVI51_B00451	XP_444997.1
GVI51_B00473	XP_444998.1
GVI51_B00495	XP_444999.1
GVI51_B00517	XP_445000.1
GVI51_B00539	XP_445001.1
GVI51_B00561	XP_065482661.1
GVI51_B00583	XP_445002.1
GVI51_B00605	XP_445003.1
GVI51_B00627	XP_445004.1
GVI51_B00649	XP_445005.1
GVI51_B00671	XP_445006.1
GVI51_B00693	XP_445007.1
GVI51_B00715	XP_445008.1
GVI51_B00737	XP_445009.1
GVI51_B00759	XP_445010.1
GVI51_B00781	XP_445011.1
GVI51_B00803	XP_445012.1
GVI51_B00825	XP_445013.1
GVI51_B00847	XP_445014.1
GVI51_B00869	XP_445015.1
GVI51_B00913	XP_445016.1
GVI51_B00935	XP_445017.1
GVI51_B00957	XP_445018.1
GVI51_B00979	XP_445019.1
GVI51_B01001	XP_445020.1
GVI51_B01023	XP_445021.1
GVI51_B01045	XP_445022.1
GVI51_B01045	XP_445022.1
GVI51_B01067	XP_445023.1
GVI51_B01089	XP_445024.2
GVI51_B01111	XP_445025.1
GVI51_B01133	XP_445026.1
GVI51_B01177	XP_445027.1
GVI51_B01199	XP_445028.1
GVI51_B01221	XP_445029.1
GVI51_B01243	XP_445030.1
GVI51_B01265	XP_445031.1
GVI51_B01287	XP_445032.1
GVI51_B01309	XP_445033.1
GVI51_B01331	XP_445034.1
GVI51_B01353	XP_445035.1
GVI51_B01375	XP_445036.1
GVI51_B01397	XP_445037.1
GVI51_B01419	XP_445038.1
GVI51_B01441	XP_002999515.1
GVI51_B01441	XP_002999515.1
GVI51_B01463	XP_445039.1
GVI51_B01485	XP_445040.1
GVI51_B01507	XP_445041.1
GVI51_B01551	XP_445042.1
GVI51_B01573	XP_445043.1
GVI51_B01595	XP_445044.1
GVI51_B01639	XP_445046.1
GVI51_B01661	XP_445047.3
GVI51_B01683	XP_445048.1
GVI51_B01705	XP_445049.1
GVI51_B01727	XP_445050.1
GVI51_B01749	XP_002999516.1
GVI51_B01771	XP_445051.1
GVI51_B01793	XP_445052.1
GVI51_B01815	XP_445053.1
GVI51_B01837	XP_445054.1
GVI51_B01859	XP_445055.1
GVI51_B01881	XP_445056.1
GVI51_B01903	XP_445057.1
GVI51_B01925	XP_445058.1
GVI51_B01947	XP_445059.1
GVI51_B01969	XP_445060.1
GVI51_B01991	XP_445061.1
GVI51_B02013	XP_445062.1
GVI51_B02035	XP_445063.1
GVI51_B02057	XP_445064.1
GVI51_B02079	XP_445065.1
GVI51_B02101	XP_445066.1
GVI51_B02123	XP_445067.1
GVI51_B02145	XP_445068.1
GVI51_B02167	XP_445069.1
GVI51_B02189	XP_445070.1
GVI51_B02211	XP_445071.1
GVI51_B02233	XP_445072.1
GVI51_B02255	XP_445073.2
GVI51_B02277	XP_445074.1
GVI51_B02299	XP_445075.1
GVI51_B02321	XP_445076.1
GVI51_B02343	XP_445077.1
GVI51_B02365	XP_445078.1
GVI51_B02387	XP_445079.1
GVI51_B02409	XP_445080.1
GVI51_B02431	XP_445081.1
GVI51_B02453	XP_445082.1
GVI51_B02475	XP_445083.1
GVI51_B02497	XP_445084.1
GVI51_B02519	XP_445085.1
GVI51_B02541	XP_445086.1
GVI51_B02563	XP_445087.1
GVI51_B02585	XP_445088.1
GVI51_B02607	XP_445089.1
GVI51_B02629	XP_445090.1
GVI51_B02651	XP_002999517.1
GVI51_B02673	XP_445091.1
GVI51_B02695	XP_445092.1
GVI51_B02717	XP_445093.1
GVI51_B02739	XP_445094.1
GVI51_B02761	XP_445095.3
GVI51_B02783	XP_445096.1
GVI51_B02805	XP_445097.1
GVI51_B02827	XP_445098.1
GVI51_B02849	XP_445099.1
GVI51_B02871	XP_445100.1
GVI51_B02893	XP_445101.1
GVI51_B02915	XP_065482662.1
GVI51_B02937	XP_065482663.1
GVI51_B02959	XP_445105.1
GVI51_B02981	XP_445106.1
GVI51_B03003	XP_445107.1
GVI51_B03025	XP_445108.1
GVI51_B03069	XP_445109.1
GVI51_B03091	XP_445110.1
GVI51_B03113	XP_445111.1
GVI51_B03135	XP_445112.1
GVI51_B03157	XP_445113.1
GVI51_B03179	XP_445114.1
GVI51_B03201	XP_445115.1
GVI51_B03223	XP_445116.1
GVI51_B03245	XP_445117.1
GVI51_B03267	XP_445118.1
GVI51_B03289	XP_445119.1
GVI51_B03311	XP_445120.1
GVI51_B03333	XP_445121.1
GVI51_B03355	XP_445122.1
GVI51_B03377	XP_445123.1
GVI51_B03399	XP_445124.1
GVI51_B03421	XP_445125.2
GVI51_B03443	XP_445126.1
GVI51_B03465	XP_445127.1
GVI51_B03487	XP_445128.1
GVI51_B03509	XP_065482664.1
GVI51_B03531	XP_445129.1
GVI51_B03553	XP_445130.1
GVI51_B03575	XP_445131.1
GVI51_B03597	XP_445132.1
GVI51_B03619	XP_445133.1
GVI51_B03663	XP_445134.1
GVI51_B03685	XP_445135.1
GVI51_B03707	XP_445136.1
GVI51_B03729	XP_445137.1
GVI51_B03751	XP_002999519.1
GVI51_B03773	XP_445138.1
GVI51_B03795	XP_445139.1
GVI51_B03817	XP_002999520.1
GVI51_B03839	XP_445140.1
GVI51_B03861	XP_445141.1
GVI51_B03883	XP_445142.1
GVI51_B03905	XP_445143.1
GVI51_B03927	XP_445144.1
GVI51_B03949	XP_445145.1
GVI51_B03971	XP_445146.1
GVI51_B03993	XP_445147.1
GVI51_B04037	XP_445148.1
GVI51_B04059	XP_445149.1
GVI51_B04081	XP_445150.1
GVI51_B04103	XP_445151.1
GVI51_B04125	XP_445152.1
GVI51_B04147	XP_445153.1
GVI51_B04169	XP_445154.1
GVI51_B04191	XP_445155.1
GVI51_B04213	XP_445156.1
GVI51_B04235	XP_445157.1
GVI51_B04257	XP_445158.1
GVI51_B04279	XP_445159.1
GVI51_B04301	XP_445160.1
GVI51_B04323	XP_445161.1
GVI51_B04345	XP_445162.1
GVI51_B04367	XP_445163.1
GVI51_B04389	XP_445164.1
GVI51_B04411	XP_445165.1
GVI51_B04433	XP_445166.1
GVI51_B04455	XP_445167.1
GVI51_B04477	XP_445168.1
GVI51_B04499	XP_445169.2
GVI51_B04521	XP_445170.1
GVI51_B04543	XP_445171.1
GVI51_B04565	XP_445172.1
GVI51_B04587	XP_445173.1
GVI51_B04609	XP_445174.1
GVI51_B04631	XP_445175.3
GVI51_B04631	XP_445175.3
GVI51_B04653	XP_445176.1
GVI51_B04675	XP_445177.1
GVI51_B04697	XP_445178.1
GVI51_B04719	XP_445179.1
GVI51_B04741	XP_445180.2
GVI51_B04741	XP_445180.2
GVI51_B04763	XP_445181.1
GVI51_B04785	XP_445182.1
GVI51_B04807	XP_445183.1
GVI51_B04829	XP_445184.1
GVI51_B04851	XP_445185.1
GVI51_B04873	XP_445186.1
GVI51_B04895	XP_445187.1
GVI51_B04961	XP_445188.1
GVI51_B04983	XP_065482665.1
GVI51_C00011	XP_445189.1
GVI51_C00033	XP_445190.1
GVI51_C00055	XP_445191.1
GVI51_C00077	XP_445192.2
GVI51_C00099	XP_445193.1
GVI51_C00121	XP_445194.1
GVI51_C00143	XP_445195.1
GVI51_C00165	XP_445196.1
GVI51_C00187	XP_445197.1
GVI51_C00209	XP_445198.1
GVI51_C00231	XP_445199.1
GVI51_C00253	XP_445200.1
GVI51_C00275	XP_445201.1
GVI51_C00297	XP_445202.1
GVI51_C00319	XP_445203.1
GVI51_C00341	XP_445204.1
GVI51_C00363	XP_445205.2
GVI51_C00363	XP_445205.2
GVI51_C00385	XP_445206.1
GVI51_C00407	XP_445207.1
GVI51_C00429	XP_445208.1
GVI51_C00451	XP_445209.1
GVI51_C00473	XP_445210.1
GVI51_C00495	XP_445211.1
GVI51_C00517	XP_445212.1
GVI51_C00539	XP_445213.1
GVI51_C00561	XP_445214.1
GVI51_C00583	XP_445215.1
GVI51_C00605	XP_445216.1
GVI51_C00627	XP_065482666.1
GVI51_C00649	XP_445221.2
GVI51_C00671	XP_065482667.1
GVI51_C00693	XP_065482668.1
GVI51_C00715	XP_065482669.1
GVI51_C00737	XP_445219.1
GVI51_C00759	XP_065482670.1
GVI51_C00781	XP_065482671.1
